co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100700,Pública,2019,4.0,0.854706,4.0,4.672643,276.29,273.91,85.1
1100700,Pública,2021,3.4,0.806739,4.2,4.218813,257.12,262.03,79.4
1100700,Pública,2023,3.9,0.902839,,4.321387,262.18,263.94,90.1
1100700,Pública,2025,4.2,0.96554,,4.371607,264.24,265.32,96.6
1100809,Estadual,2017,3.7,0.796721,,4.591518,273.92,270.66,79.9
1100809,Estadual,2019,3.8,0.844977,3.9,4.476316,269.33,267.35,83.2
1100809,Estadual,2021,4.0,0.919996,4.1,4.392288,268.68,262.06,91.8
1100809,Estadual,2023,3.9,0.924624,,4.24566,265.19,255.34,91.5
1100809,Estadual,2025,3.9,0.938451,,4.166748,260.05,255.2,93.6
1100809,Pública,2017,3.7,0.796721,,4.591518,273.92,270.66,79.9
1100809,Pública,2019,3.8,0.844977,3.9,4.476316,269.33,267.35,83.2
1100809,Pública,2021,4.0,0.919996,4.1,4.392288,268.68,262.06,91.8
1100809,Pública,2023,3.9,0.924624,,4.24566,265.19,255.34,91.5
1100809,Pública,2025,3.9,0.938451,,4.166748,260.05,255.2,93.6
1100908,Estadual,2017,4.3,0.967966,,4.441398,266.2,268.2,96.7
1100908,Estadual,2019,,0.956686,4.5,,,,95.8
1100908,Estadual,2021,3.8,1.0,4.7,3.828676,247.59,244.41,100.0
1100908,Estadual,2023,4.1,0.960043,,4.238009,261.17,259.08,96.3
1100908,Estadual,2025,4.0,0.9461,,4.243344,261.32,259.3,94.6
1100908,Pública,2017,4.3,0.967966,,4.441398,266.2,268.2,96.7
1100908,Pública,2019,,0.956686,4.5,,,,95.8
1100908,Pública,2021,3.8,1.0,4.7,3.828676,247.59,244.41,100.0
1100908,Pública,2023,4.1,0.960043,,4.238009,261.17,259.08,96.3
1100908,Pública,2025,4.0,0.9461,,4.243344,261.32,259.3,94.6
1100924,Estadual,2017,3.0,0.78675,,3.798037,241.95,248.24,78.2
1100924,Estadual,2019,,0.813431,3.2,,,,81.2
1100924,Estadual,2021,3.6,0.919833,3.4,3.903083,249.53,247.64,91.7
