co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100080,Estadual,2017,5.3,0.930384,4.8,5.662333,269.68,270.06,93.1
1100080,Estadual,2019,5.1,0.96847,5.0,5.2615,255.54,260.15,96.9
1100080,Estadual,2021,5.0,0.950641,5.3,5.214333,253.21,259.65,95.1
1100080,Estadual,2023,4.9,0.963044,,5.054667,251.82,251.46,96.3
1100080,Estadual,2025,4.7,0.976689,,4.772167,241.22,245.11,97.6
1100080,Municipal,2017,,0.786183,,,,,77.0
1100080,Municipal,2023,,0.811585,,,,,80.6
1100080,Pública,2005,3.1,0.691265,,4.438833,225.4,240.9,68.6
1100080,Pública,2007,3.4,0.806769,3.1,4.239833,221.08,233.31,80.0
1100080,Pública,2009,3.1,0.734022,3.2,4.264333,223.95,231.91,72.2
1100080,Pública,2011,3.5,0.76821,3.5,4.6095,231.03,245.54,76.7
1100080,Pública,2013,2.6,0.667992,3.9,3.892167,212.16,221.37,67.2
1100080,Pública,2015,,0.785992,4.3,,,,78.1
1100080,Pública,2017,5.0,0.883223,4.6,5.662333,269.68,270.06,87.7
1100080,Pública,2019,4.5,0.864522,4.8,5.2615,255.54,260.15,85.8
1100080,Pública,2021,4.7,0.895059,5.1,5.214333,253.21,259.65,89.3
1100080,Pública,2023,4.4,0.896507,,4.947833,249.49,247.38,89.5
1100080,Pública,2025,4.4,0.915293,,4.772167,241.22,245.11,91.8
1100098,Estadual,2005,3.8,0.783884,,4.79613,236.4,251.3,78.4
1100098,Estadual,2007,3.6,0.782904,3.8,4.586,228.42,246.74,78.4
1100098,Estadual,2009,4.4,0.855426,3.9,5.117833,251.47,255.6,85.3
1100098,Estadual,2011,4.4,0.869353,4.2,5.039167,246.82,255.53,86.9
1100098,Estadual,2013,5.0,0.9512,4.6,5.263,252.0,263.78,95.1
1100098,Estadual,2015,4.8,0.89967,5.0,5.368,259.64,262.44,89.8
1100098,Estadual,2017,5.4,0.955524,5.2,5.601833,267.81,268.3,95.7
